Reservoir Summary

Reservoir,Reservoir Level Information & Capacity Details,,,,,Instant Inflow & Outflow,,,Basin,District,Alert
,Date and Time,Gross Capacity at FRL (T.M.C.),Current Level (feet),Current Storage (T.M.C.),Flood Cushion (T.M.C.),Date and Time,Inflow (Cusecs),Outflow (Cusecs),,,
SANGAM ANICUT / BARRGE,8/4/26,0.45,112.22,0.37,0.08,8/4/26,3030,3100,Other,Sri Potti Sriramulu Nellore,-
PINCHA PROJECT,8/4/26,0.33,981.2,0.07,0.26,8/4/26,10,4,Pennar,Annamayya,-
YELLANUR SR2,8/3/26,0.31,772.8,0.23,0.08,8/3/26,0,0,Pennar,Ananthapuramu,-
THIMMAPURAM SR1,8/3/26,0.3,721.78,0.25,0.05,8/3/26,0,0,Pennar,Y.S.R Kadapa,-
GODDAMVARIPALLI SR3,8/3/26,0.3,815.29,0.16,0.15,8/3/26,0,0,Pennar,Ananthapuramu,-
NELLORE ANICUT,8/4/26,0.38,44.52,0.35,0.03,8/4/26,350,340,Pennar,Sri Potti Sriramulu Nellore,-
KALANGI RESERVOIR,8/3/26,0.24,195,0,0.24,8/3/26,0,0,Other,Tirupati,-
LOWER SAGILERU ANI CUT,8/4/26,0.17,509,0.1,0.07,8/4/26,0,0,Pennar,Y.S.R Kadapa,-
UPPER SAGILERU,-,-,-,-,-,-,-,-,Pennar,Y.S.R Kadapa,-
Donkarayi Reservoir,8/3/26,16.51,1022.8,12.7,3.81,8/3/26,5980,3027,GODAVARI,Alluri Sitharama Raju,-
HIRAMANDALAM RESERVOIR,8/3/26,10,148.35,2.73,7.27,8/3/26,0,0,Other,Srikakulam,-
PENDEKALLU RESERVOIR,8/4/26,0.65,833.45,0.29,0.36,8/4/26,0,0,Pennar,Ananthapuramu,-
Sileru (Guntawada) Reservoir,8/3/26,4.33,1344.3,1.66,2.67,8/3/26,4468,3041,GODAVARI,Alluri Sitharama Raju,-
TUNGABADRA DAM,8/3/26,105.79,1613.16,44.19,61.6,8/3/26,57785,1390,Krishna,Vijayanagara(KS),-
COASTAL ANDHRA REGION,-,628.2,-,278.44,349.76,-,-,-,-,-,-
RAYALASEEMA REGION,-,372.37,-,156.83,215.54,-,-,-,-,-,-
TOTAL,-,1106.36,-,479.46,626.9,-,-,-,-,-,-
